POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date,SR,Unnamed: 0,Year,Metric,Source_File
7.0,Yusuf Pathan,73,23,2,8,DEC,Narendra Modi Stadium,26 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
8.0,Sachin Tendulkar,63,23,11,0,DC,Arun Jaitley Stadium,17 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
9.0,Matthew Hayden,93,24,9,7,DC,Arun Jaitley Stadium,19 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
10.0,Suresh Raina,78,24,11,3,KKR,Chidambaram,13 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
11.0,Kevin Pietersen,62,24,10,2,RR,Sawai Mansingh Stadium,14 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
12.0,Suresh Raina,57,24,3,3,MI,DY Patil Stadium,25 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
13.0,Andrew Symonds,53,24,5,3,RCB,M. Chinnaswamy Stadium,08 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
14.0,Irfan Pathan,60,25,3,5,DEC,Barabati Stadium,19 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
15.0,David Warner,57,25,4,4,DEC,Barabati Stadium,21 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
16.0,Mahela Jayawardena,110,26,14,3,KKR,Eden Gardens,04 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
17.0,Albie Morkel,62,26,3,5,RR,Chidambaram,03 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
18.0,Andrew Symonds,54,26,3,5,DC,Arun Jaitley Stadium,18 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
19.0,Michael Lumb,83,28,16,2,PBKS,Sawai Mansingh Stadium,07 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
20.0,MS Dhoni,66,28,6,3,KKR,Eden Gardens,16 March 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
21.0,Ambati Rayudu,55,28,6,2,DEC,Brabourne Stadium,03 April 2010,,,2010,Fastest Fifties,Fastest Fifties - 2010.csv
