Unnamed: 0.1,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0,Year,Metric,Source_File
102,Dale Steyn,4.0,28,2,12.0,CSK,Chidambaram,21 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
103,Albie Morkel,4.0,25,2,12.0,RR,DY Patil Stadium,01 June 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
104,Siddharth Trivedi,4.0,31,2,12.0,KKR,Sawai Mansingh Stadium,01 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
105,Pragyan Ojha,4.0,28,2,12.0,RCB,M. Chinnaswamy Stadium,03 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
106,Dwayne Bravo,4.0,37,2,12.0,CSK,Wankhede Stadium,14 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
107,Irfan Pathan,4.0,47,2,12.0,CSK,IS Bindra Stadium,19 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
108,Dilhara Fernando,4.0,38,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
109,Dimitri Mascarenhas,4.0,29,2,12.0,DC,Sawai Mansingh Stadium,11 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
110,Albie Morkel,4.0,35,2,12.0,RR,Chidambaram,24 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
111,Jacques Kallis,4.0,39,2,12.0,DC,Arun Jaitley Stadium,30 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
112,Yo Mahesh,4.0,40,2,12.0,CSK,Arun Jaitley Stadium,08 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
113,Rajat Bhatia,4.0,17,2,12.0,RR,Arun Jaitley Stadium,19 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
114,Irfan Pathan,4.0,18,2,12.0,KKR,IS Bindra Stadium,03 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
115,Siddharth Trivedi,4.0,25,2,12.0,PBKS,Sawai Mansingh Stadium,21 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
116,MF Maharoof,4.0,13,2,12.0,RCB,M. Chinnaswamy Stadium,19 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
117,Shane Watson,4.0,20,2,12.0,RCB,M. Chinnaswamy Stadium,26 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
118,Sourav Ganguly,4.0,25,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
119,Shahid Afridi,4.0,23,2,12.0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
120,Dhawal Kulkarni,4.0,37,2,12.0,PBKS,IS Bindra Stadium,25 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
121,Shahid Afridi,4.0,32,2,12.0,MI,DY Patil Stadium,27 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
122,Shaun Pollock,4.0,16,2,12.0,DC,DY Patil Stadium,04 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
123,Mohammad Asif,4.0,19,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
124,Siddharth Chitnis,4.0,40,2,12.0,PBKS,Wankhede Stadium,21 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
125,Shane Warne,4.0,21,2,12.0,DC,Wankhede Stadium,30 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
126,Muttiah Muralitharan,4.0,39,2,12.0,RR,DY Patil Stadium,01 June 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
127,Albie Morkel,4.0,37,2,12.0,DEC,Rajiv Gandhi Intl. Cricket Stadium,27 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
128,Ishant Sharma,4.0,9,2,12.0,RCB,M. Chinnaswamy Stadium,18 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
129,Manpreet Gony,4.0,40,2,12.0,KKR,Chidambaram,26 April 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
130,Shanthakumaran Sreesanth,4.0,16,2,12.0,RCB,M. Chinnaswamy Stadium,05 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
131,Shane Watson,4.0,21,2,12.0,DC,Sawai Mansingh Stadium,11 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
132,Pradeep Sangwan,4.0,29,2,12.0,CSK,Arun Jaitley Stadium,08 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
133,Manpreet Gony,4.0,11,2,12.0,RCB,Chidambaram,21 May 2008,,All,Best Bowling Strike Rate Per Innings,Best Bowling Strike Rate Per Innings All Seasons Combine.csv
