POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
92,Suresh Raina,45,24,187.5,6,2,RR,Chidambaram,24 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
93,Yusuf Pathan,68,37,183.78,9,2,DEC,Sawai Mansingh Stadium,09 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
94,Mark Boucher,31,17,182.35,2,2,DC,Arun Jaitley Stadium,30 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
95,Laxmi Ratan Shukla,40,22,181.81,4,2,MI,Eden Gardens,29 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
96,Rohit Sharma,76,42,180.95,10,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,01 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
97,Yuvraj Singh,23,13,176.92,1,2,CSK,IS Bindra Stadium,19 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
98,Dwayne Bravo,30,17,176.47,2,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
99,Matthew Hayden,81,46,176.08,12,2,MI,Chidambaram,23 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
100,Albie Morkel,28,16,175.0,3,2,DC,Chidambaram,02 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
101,MF Maharoof,19,11,172.72,0,2,DEC,Arun Jaitley Stadium,15 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
102,MS Dhoni,29,17,170.58,1,2,RR,DY Patil Stadium,01 June 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
103,Sanath Jayasuriya,20,12,166.66,1,2,PBKS,Wankhede Stadium,21 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
104,Yusuf Pathan,55,33,166.66,6,2,KKR,Sawai Mansingh Stadium,01 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
105,Suresh Raina,28,17,164.7,1,2,RCB,M. Chinnaswamy Stadium,28 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
106,Kumar Sangakkara,54,33,163.63,5,2,CSK,IS Bindra Stadium,19 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
107,Subramaniam Badrinath,53,33,160.6,7,2,MI,Wankhede Stadium,14 May 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
108,MS Dhoni,43,27,159.25,3,2,KKR,Chidambaram,26 April 2008,2008,Most Sixes Innings,Most Sixes Innings - 2008.csv
