Unnamed: 0,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date,Year,Metric,Source_File
1077,Ravichandran Ashwin,4.0,17,2,15,4.25,12.0,MI,Chidambaram,08 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1078,Sunil Narine,4.0,17,1,11,4.25,24.0,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1079,Iqbal Abdulla,4.0,17,1,12,4.25,24.0,DC,Arun Jaitley Stadium,26 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1080,Vinay Kumar,3.0,13,1,11,4.33,18.0,RR,Narendra Modi Stadium,14 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1081,Dwayne Bravo,3.0,13,0,5,4.33,0.0,PBKS,Chidambaram,25 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1082,Umesh Yadav,4.0,18,2,11,4.5,12.0,DC,Arun Jaitley Stadium,20 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1083,Morne Morkel,4.0,18,2,15,4.5,12.0,MI,Eden Gardens,08 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1084,Ravi Bopara,4.0,18,2,12,4.5,12.0,RR,ACA-VDCA Stadium,16 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1085,Sandeep Sharma,2.0,9,1,7,4.5,12.0,CSK,IS Bindra Stadium,16 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1086,Brad Hogg,4.0,18,1,9,4.5,24.0,CSK,Chidambaram,28 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1087,Beuran Hendricks,2.0,9,1,4,4.5,12.0,RCB,IS Bindra Stadium,13 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1088,Shahbaz Nadeem,4.0,18,0,15,4.5,0.0,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1089,Dwayne Bravo,3.4,17,2,12,4.63,11.0,RCB,Chidambaram,04 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1090,Jagadeesha Suchith,3.0,14,2,8,4.66,9.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1091,Harshal Patel,3.0,14,1,7,4.66,18.0,DC,Arun Jaitley Stadium,26 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1092,Nathan Coulter-Nile,3.0,14,0,13,4.66,0.0,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1093,Sunil Narine,4.0,19,4,13,4.75,6.0,PBKS,Eden Gardens,09 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1094,Chris Morris,4.0,19,3,12,4.75,8.0,CSK,Chidambaram,10 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1095,Trent Boult,4.0,19,3,14,4.75,8.0,PBKS,IS Bindra Stadium,27 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1096,Ashish Nehra,4.0,19,3,13,4.75,8.0,RCB,Chidambaram,04 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1097,Harshal Patel,4.0,19,2,13,4.75,12.0,CSK,Chidambaram,04 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1098,Jayant Yadav,4.0,19,1,10,4.75,24.0,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1099,Chris Morris,4.0,19,1,14,4.75,24.0,CSK,Narendra Modi Stadium,19 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
1100,Sandeep Sharma,4.0,19,1,11,4.75,24.0,RR,Maharashtra Cricket Association's International Stadium,10 April 2015,All,Best Bowling Economy Per Innings,Best Bowling Economy Per Innings All Seasons Combine.csv
