Unnamed: 0,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
1818,MS Dhoni,20,5,400.0,0,3,RR,Sharjah Cricket Stadium,22 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1819,Sanju Samson,20,5,400.0,0,3,CSK,Sharjah Cricket Stadium,22 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1820,Tom Curran,20,6,333.33,0,3,KKR,Dubai International Stadium,30 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1821,Eoin Morgan,20,4,500.0,2,2,RR,Dubai International Stadium,01 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1822,Nitish Rana,19,5,380.0,0,3,CSK,Dubai International Stadium,29 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1823,Eoin Morgan,19,4,475.0,0,3,DC,Sharjah Cricket Stadium,03 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1824,Kieron Pollard,19,5,380.0,1,2,PBKS,Dubai International Stadium,18 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1825,Faf du Plessis,19,4,475.0,0,3,RR,Sharjah Cricket Stadium,22 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1826,Shreyas Iyer,19,5,380.0,1,2,KKR,Sharjah Cricket Stadium,03 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1827,AB de Villiers,19,4,475.0,0,3,RR,Dubai International Stadium,17 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1828,Jonny Bairstow,19,5,380.0,1,2,PBKS,Dubai International Stadium,08 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1829,Kieron Pollard,19,5,380.0,0,3,SRH,Sharjah Cricket Stadium,03 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1830,Shivam Dube,19,5,380.0,0,3,MI,Dubai International Stadium,28 September 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1831,Kieron Pollard,18,3,600.0,0,3,PBKS,Zayed Cricket Stadium,01 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1832,Faf du Plessis,18,5,360.0,4,0,PBKS,Dubai International Stadium,04 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1833,Marcus Stoinis,18,6,300.0,3,1,SRH,Zayed Cricket Stadium,08 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1834,KL Rahul,18,5,360.0,3,1,MI,Dubai International Stadium,18 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1835,AB de Villiers,18,6,300.0,1,2,KKR,Sharjah Cricket Stadium,12 October 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
1836,Eoin Morgan,17,4,425.0,1,2,RR,Dubai International Stadium,01 November 2020,All,Most Runs Per Over,Most Runs Per Over All Seasons Combine.csv
